"img","x_pos","y_pos"
"../data/imgs/P006386.jpg",0.7621523,0.24488021
"../data/imgs/P006392.jpg",0.52488047,0.73323596
"../data/imgs/P004585.jpg",0.8495843,0.71172
"../data/imgs/P002692.jpg",0.20813976,0.38196078
"../data/imgs/P007932.jpg",0.74466044,0.22967333
"../data/imgs/P000085.jpg",0.34782365,0.47300372
"../data/imgs/P007701.jpg",0.78826934,0.31517306
"../data/imgs/P001370.jpg",0.834792,0.20899561
"../data/imgs/P002679.jpg",0.67756796,0.29040933
"../data/imgs/P005116.jpg",0.5852044,0.6813019
"../data/imgs/P004208.jpg",0.5077183,0.55497164
"../data/imgs/P003201.jpg",0.29001638,0.7983378
"../data/imgs/P005670.jpg",0.78541756,0.37140694
"../data/imgs/P001416.jpg",0.8525763,0.23163389
"../data/imgs/P006379.jpg",0.8140374,0.4490949
"../data/imgs/P000708.jpg",0.5431533,0.43950382
"../data/imgs/P001402.jpg",0.6878593,0.53339666
"../data/imgs/P007073.jpg",0.35080034,0.69648564
"../data/imgs/P005102.jpg",0.5108487,0.6994713
"../data/imgs/P003573.jpg",0.40384498,0.6376435
"../data/imgs/P007715.jpg",0.38730064,0.54521865
"../data/imgs/P001364.jpg",0.59809476,0.4130153
"../data/imgs/P002645.jpg",0.41151094,0.45488507
"../data/imgs/P004234.jpg",0.6503356,0.4616256
"../data/imgs/P000052.jpg",0.32015154,0.7622105
"../data/imgs/P006423.jpg",0.90562075,0.60066783
"../data/imgs/P006345.jpg",0.82192385,0.3279241
"../data/imgs/P000734.jpg",0.12840554,0.5427918
"../data/imgs/P005894.jpg",0.87400067,0.44423538
"../data/imgs/P004552.jpg",0.7793002,0.3710611
"../data/imgs/P002123.jpg",0.49511084,0.4115252
"../data/imgs/P005880.jpg",0.2618979,0.23902877
"../data/imgs/P003229.jpg",0.6575568,0.6951955
"../data/imgs/P004546.jpg",0.469473,0.760302
"../data/imgs/P005658.jpg",0.93700194,0.458504
"../data/imgs/P002137.jpg",0.29057676,0.39730504
"../data/imgs/P006351.jpg",0.6735474,0.41608638
"../data/imgs/P000720.jpg",0.65443164,0.7692552
"../data/imgs/P000046.jpg",0.50947064,0.51375204
"../data/imgs/P007729.jpg",0.046499256,0.22216633
"../data/imgs/P006437.jpg",0.6465094,0.67170346
"../data/imgs/P001358.jpg",0.8634444,0.4896645
"../data/imgs/P002651.jpg",0.24478592,0.74615526
"../data/imgs/P002889.jpg",0.11617082,0.43521085
"../data/imgs/P008195.jpg",0.9089454,0.40961352
"../data/imgs/P006806.jpg",0.7414473,0.55961096
"../data/imgs/P006812.jpg",0.72130364,0.34470373
"../data/imgs/P008181.jpg",0.44155425,0.65095097
"../data/imgs/P006184.jpg",0.21742453,0.3196842
"../data/imgs/P001833.jpg",0.6239478,0.4725123
"../data/imgs/P003942.jpg",0.37918612,0.59871376
"../data/imgs/P002484.jpg",0.4588114,0.5346256
"../data/imgs/P000293.jpg",0.13021457,0.37492713
"../data/imgs/P000287.jpg",0.37393415,0.50304294
"../data/imgs/P001199.jpg",0.32020766,0.4289004
"../data/imgs/P002490.jpg",0.60862553,0.6995623
"../data/imgs/P004787.jpg",0.941491,0.2829519
"../data/imgs/P001827.jpg",0.6011625,0.50048494
"../data/imgs/P008156.jpg",0.50079244,0.7221502
"../data/imgs/P007265.jpg",0.57628256,0.17504689
"../data/imgs/P001614.jpg",0.8298468,0.7298655
"../data/imgs/P003003.jpg",0.22205375,0.40318435
"../data/imgs/P003765.jpg",0.3573433,0.28803986
"../data/imgs/P005314.jpg",0.7678345,0.25766107
"../data/imgs/P001172.jpg",0.67675626,0.5591573
"../data/imgs/P007503.jpg",0.8534401,0.42863706
"../data/imgs/P001166.jpg",0.38171858,0.47647625
"../data/imgs/P006609.jpg",0.7976169,0.68903375
"../data/imgs/P007517.jpg",0.914796,0.49865475
"../data/imgs/P000278.jpg",0.5751861,0.4005026
"../data/imgs/P005300.jpg",0.5884229,0.7060118
"../data/imgs/P002309.jpg",0.7553982,0.38777027
"../data/imgs/P005466.jpg",0.6780245,0.7016898
"../data/imgs/P004778.jpg",0.569861,0.29837945
"../data/imgs/P003017.jpg",0.519824,0.13907221
"../data/imgs/P008142.jpg",0.21766572,0.53347105
"../data/imgs/P007271.jpg",0.59535474,0.15876114
"../data/imgs/P001600.jpg",0.63749045,0.2400612
"../data/imgs/P002321.jpg",0.537089,0.76319766
"../data/imgs/P000536.jpg",0.044641852,0.24951786
"../data/imgs/P007259.jpg",0.2326536,0.42987984
"../data/imgs/P001628.jpg",0.5359559,0.5838688
"../data/imgs/P006621.jpg",0.24278742,0.7240956
"../data/imgs/P000250.jpg",0.8476187,0.20252444
"../data/imgs/P003759.jpg",0.26410213,0.6531826
"../data/imgs/P004036.jpg",0.18144776,0.48815638
"../data/imgs/P003981.jpg",0.87587893,0.4701523
"../data/imgs/P002447.jpg",0.16636802,0.536045
"../data/imgs/P002453.jpg",0.5586863,0.5464975
"../data/imgs/P006635.jpg",0.32986444,0.4035214
"../data/imgs/P000244.jpg",0.36918652,0.50658596
"../data/imgs/P002335.jpg",0.27195525,0.70703125
"../data/imgs/P004744.jpg",0.9232099,0.38956445
"../data/imgs/P000245.jpg",0.61902666,0.2752989
"../data/imgs/P006634.jpg",0.6782863,0.34535214
"../data/imgs/P002452.jpg",0.54893816,0.5392875
"../data/imgs/P002334.jpg",0.39938444,0.32768455
"../data/imgs/P006152.jpg",0.92975193,0.55299604
"../data/imgs/P000523.jpg",0.50808257,0.60375243
"../data/imgs/P001629.jpg",0.4249985,0.6554109
"../data/imgs/P006146.jpg",0.21730441,0.5749646
"../data/imgs/P007258.jpg",0.3912242,0.62088346
"../data/imgs/P004751.jpg",0.40492478,0.16034937
"../data/imgs/P002320.jpg",0.72248906,0.5535147
"../data/imgs/P002446.jpg",0.11113986,0.48693836
"../data/imgs/P003980.jpg",0.60490406,0.36161107
"../data/imgs/P004037.jpg",0.8707072,0.5169324
"../data/imgs/P000251.jpg",0.5897404,0.37959844
"../data/imgs/P006620.jpg",0.78224677,0.7463148
"../data/imgs/P005301.jpg",0.75811905,0.25179362
"../data/imgs/P003770.jpg",0.48180163,0.41703913
"../data/imgs/P000279.jpg",0.19797479,0.47962722
"../data/imgs/P007516.jpg",0.90181667,0.4430575
"../data/imgs/P006608.jpg",0.42780796,0.33318073
"../data/imgs/P001167.jpg",0.42202458,0.41747576
"../data/imgs/P001601.jpg",0.6216128,0.2219986
"../data/imgs/P007270.jpg",0.61274904,0.15143406
"../data/imgs/P008143.jpg",0.79221696,0.7198385
"../data/imgs/P004779.jpg",0.9562121,0.39696753
"../data/imgs/P005467.jpg",0.6298661,0.23306796
"../data/imgs/P002308.jpg",0.8643172,0.50483847
"../data/imgs/P003002.jpg",0.42086798,0.42515028
"../data/imgs/P005473.jpg",0.30821878,0.7403324
"../data/imgs/P001615.jpg",0.7919213,0.48893365
"../data/imgs/P007264.jpg",0.6061609,0.16046253
"../data/imgs/P008157.jpg",0.70060253,0.27601382
"../data/imgs/P001173.jpg",0.5471518,0.361979
"../data/imgs/P005315.jpg",0.52575284,0.7445373
"../data/imgs/P002491.jpg",0.48128223,0.6106097
"../data/imgs/P001198.jpg",0.18323186,0.3619511
"../data/imgs/P001826.jpg",0.5671596,0.4703409
"../data/imgs/P005498.jpg",0.7048678,0.33958063
"../data/imgs/P001832.jpg",0.62572914,0.46895903
"../data/imgs/P000292.jpg",0.34358776,0.76678115
"../data/imgs/P002485.jpg",0.395377,0.4438719
"../data/imgs/P003943.jpg",0.6128063,0.22221802
"../data/imgs/P006813.jpg",0.12529516,0.48799905
"../data/imgs/P008180.jpg",0.2748971,0.63895875
"../data/imgs/P008194.jpg",0.8417005,0.73509675
"../data/imgs/P006807.jpg",0.6638765,0.71303666
"../data/imgs/P000721.jpg",0.2424765,0.6937262
"../data/imgs/P006350.jpg",0.17495936,0.5627707
"../data/imgs/P002136.jpg",0.30129093,0.4698155
"../data/imgs/P005659.jpg",0.91750747,0.44977543
"../data/imgs/P004547.jpg",0.22623368,0.78970337
"../data/imgs/P005881.jpg",0.28489453,0.26069987
"../data/imgs/P002888.jpg",0.81386244,0.22266194
"../data/imgs/P004221.jpg",0.36353654,0.40697375
"../data/imgs/P002650.jpg",0.34207255,0.39721942
"../data/imgs/P001359.jpg",0.86084753,0.48278615
"../data/imgs/P006436.jpg",0.52133095,0.79657996
"../data/imgs/P007728.jpg",0.6728724,0.12179522
"../data/imgs/P000047.jpg",0.53565496,0.44457495
"../data/imgs/P006422.jpg",0.6119093,0.3278301
"../data/imgs/P000053.jpg",0.52166045,0.50879854
"../data/imgs/P004235.jpg",0.48351446,0.33038718
"../data/imgs/P002644.jpg",0.082097135,0.45881516
"../data/imgs/P002122.jpg",0.49657917,0.40619227
"../data/imgs/P004553.jpg",0.6929302,0.6794824
